PaymentStatus,AddtionaLocations,WebinarId,Registration Type,AffiliateId,FirstName,LastName,Institution,Title,Email,PhoneNumber,StreetAddress,StreetAddressLine2,City,State,ZipCode,Country,Name,ShippingPhoneNumber,ShippingStreetAddress,ShippingStreetAddressLine2,ShippingCity,ShippingState,ShippingZipCode,ShippingCountry
Billed,bsmith@redfcu.org;jjones@redfcu.org,404,97,19,LiveOnly,UpcomingNoConnInfo,Redstone Federal Credit Union,VP/Chief Compliance Officer,LiveOnly@ttstrain1.com,(256) 837-6110,220 Wynn Drive,,Huntsville,AL,35893,USA,,,,,,,,
Billed,,404,98,19,RecordedOnly,UpcomingNoConnInfo,Redstone Federal Credit Union,VP/Chief Compliance Officer,RecordedOnly@ttstrain1.com,(256) 837-6110,220 Wynn Drive,,Huntsville,AL,35893,USA,,,,,,,,
Billed,,404,99,19,CDRom,UpcomingNoConnInfo,Redstone Federal Credit Union,VP/Chief Compliance Officer,CDRom@UpcomingNoConnInfo1.com,(256) 837-6110,220 Wynn Drive,,Huntsville,AL,35893,USA,,,,,,,,
Billed,bsmith@redfcu.org;jjones@redfcu.org,404,100,19,LivePlusOnDemand,UpcomingNoConnInfo,Redstone Federal Credit Union,VP/Chief Compliance Officer,LivePlusOnDemand@UpcomingNoConnInfo1.com,(256) 837-6110,220 Wynn Drive,,Huntsville,AL,35893,USA,,,,,,,,
Billed,bsmith@redfcu.org;jjones@redfcu.org,404,101,19,Premier,UpcomingNoConnInfo,Redstone Federal Credit Union,VP/Chief Compliance Officer,Premier@UpcomingNoConnInfo1.com,(256) 837-6110,220 Wynn Drive,,Huntsville,AL,35893,USA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Billed,bsmith@redfcu.org;jjones@redfcu.org,701,97,19,LiveOnly,UpcomingHasConnInfo,Redstone Federal Credit Union,VP/Chief Compliance Officer,LiveOnlyHasConnectionInfo@ttstrain1.com,(256) 837-6110,220 Wynn Drive,,Huntsville,AL,35893,USA,,,,,,,,
Billed,,701,98,19,RecordedOnly,UpcomingHasConnInfo,Redstone Federal Credit Union,VP/Chief Compliance Officer,RecordedOnlyHasConnectionInfo@ttstrain1.com,(256) 837-6110,220 Wynn Drive,,Huntsville,AL,35893,USA,,,,,,,,
Billed,,701,99,19,CDRom,UpcomingHasConnInfo,Redstone Federal Credit Union,VP/Chief Compliance Officer,CDRomHasConnectionInfo@ttstrain1.com,(256) 837-6110,220 Wynn Drive,,Huntsville,AL,35893,USA,,,,,,,,
Billed,bsmith@redfcu.org;jjones@redfcu.org,701,100,19,LivePlus,UpcomingHasConnInfo,Redstone Federal Credit Union,VP/Chief Compliance Officer,LivePlusOnDemandHasConnectionInfo@ttstrain1.com,(256) 837-6110,220 Wynn Drive,,Huntsville,AL,35893,USA,,,,,,,,
Billed,bsmith@redfcu.org;jjones@redfcu.org,701,101,19,Premier,UpcomingHasConnInfo,Redstone Federal Credit Union,VP/Chief Compliance Officer,PremierHasConnectionInfo@ttstrain1.com,(256) 837-6110,220 Wynn Drive,,Huntsville,AL,35893,USA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Billed,,401,98,19,OnDemandOnly,Recorded,Redstone Federal Credit Union,VP/Chief Compliance Officer,OnDemandOnly@Recorded1.com,(256) 837-6110,220 Wynn Drive,,Huntsville,AL,35893,USA,,,,,,,,
Billed,,401,99,19,CDRom,Recorded,Redstone Federal Credit Union,VP/Chief Compliance Officer,CDRom@Recorded1.com,(256) 837-6110,220 Wynn Drive,,Huntsville,AL,35893,USA,,,,,,,,
